n_friend_index,n_friend_name,n
495,17nh_2162207,4
495,17nh_2162207,5
502,17nh_2268686,4
502,17nh_2268686,5
506,17nh_2305711,4
506,17nh_2305711,5
518,17nh_2425590,4
518,17nh_2425590,5
522,17nh_2463405,4
522,17nh_2463405,5
524,17nh_2489478,4
524,17nh_2489478,5
528,17nh_2561813,4
528,17nh_2561813,5
533,17nh_2561820,4
533,17nh_2561820,5
535,17nh_2586485,4
535,17nh_2586485,5
537,17nh_2613292,4
537,17nh_2613292,5
539,17nh_2618843,4
539,17nh_2618843,5
542,17nh_2687239,4
542,17nh_2687239,5
543,17nh_2691940,4
543,17nh_2691940,5
544,17nh_2696853,4
544,17nh_2696853,5
557,17nh_2869373,4
557,17nh_2869373,5
560,17nh_2883785,4
560,17nh_2883785,5
564,17nh_2903665,4
564,17nh_2903665,5
570,17nh_2936699,4
570,17nh_2936699,5
571,17nh_2936700,4
571,17nh_2936700,5
573,17nh_2936704,4
573,17nh_2936704,5
576,17nh_2977191,4
576,17nh_2977191,5
578,17nh_3039698,4
578,17nh_3039698,5
583,17nh_3058088,4
583,17nh_3058088,5
585,17nh_3112371,4
585,17nh_3112371,5
586,17nh_3112372,4
586,17nh_3112372,5
587,17nh_3112373,4
587,17nh_3112373,5
588,17nh_3112374,4
588,17nh_3112374,5
589,17nh_3112375,4
589,17nh_3112375,5
590,17nh_3112376,4
590,17nh_3112376,5
595,17nh_3214425,4
595,17nh_3214425,5
604,17nh_3400393,4
604,17nh_3400393,5
606,17nh_3522846,4
606,17nh_3522846,5
613,17nh_3637002,4
613,17nh_3637002,5
615,17nh_3692859,4
615,17nh_3692859,5
617,17nh_3736389,4
617,17nh_3736389,5
619,17nh_3826016,4
619,17nh_3826016,5
620,17nh_3921303,4
620,17nh_3921303,5
626,17nh_4024994,4
626,17nh_4024994,5
628,17nh_4062693,4
628,17nh_4062693,5
638,17nh_4262523,4
638,17nh_4262523,5
641,17nh_4339275,4
641,17nh_4339275,5
644,17nh_4483717,4
644,17nh_4483717,5
645,17nh_4483718,4
645,17nh_4483718,5
646,17nh_4483719,4
646,17nh_4483719,5
647,17nh_4483720,4
647,17nh_4483720,5
648,17nh_4483721,4
648,17nh_4483721,5
649,17nh_4499429,4
649,17nh_4499429,5
658,17nh_4712456,4
658,17nh_4712456,5
659,17nh_4736039,4
659,17nh_4736039,5
660,17nh_4951329,4
660,17nh_4951329,5
663,17nh_5038240,4
663,17nh_5038240,5
671,17nh_5238093,4
671,17nh_5238093,5
672,17nh_5257070,4
672,17nh_5257070,5
674,17nh_5425332,4
674,17nh_5425332,5
682,17nh_5532512,4
682,17nh_5532512,5
683,17nh_5566027,4
683,17nh_5566027,5
684,17nh_5614476,4
684,17nh_5614476,5
694,17nh_5817379,4
694,17nh_5817379,5
715,18nh_00000601,4
715,18nh_00000601,5
721,18nh_00002591,4
721,18nh_00002591,5
722,18nh_00002656,4
722,18nh_00002656,5
723,18nh_00003640,4
723,18nh_00003640,5
724,18nh_00004014,4
724,18nh_00004014,5
726,18nh_00005355,4
726,18nh_00005355,5
727,18nh_00007368,4
727,18nh_00007368,5
729,18nh_00009168,4
729,18nh_00009168,5
730,18nh_00010945,4
730,18nh_00010945,5
731,18nh_00012219,4
731,18nh_00012219,5
732,18nh_00013790,4
732,18nh_00013790,5
733,18nh_00014926,4
733,18nh_00014926,5
734,18nh_00017488,4
734,18nh_00017488,5
735,18nh_00017952,4
735,18nh_00017952,5
737,18nh_00018775,4
737,18nh_00018775,5
738,18nh_00019300,4
738,18nh_00019300,5
739,18nh_00019329,4
739,18nh_00019329,5
740,18nh_00019480,4
740,18nh_00019480,5
741,18nh_00022974,4
741,18nh_00022974,5
744,18nh_00029576,4
744,18nh_00029576,5
745,18nh_00030789,4
